age_category,education_level,it_experience,email_frequency,security_training_prior,personality_extraversion,personality_agreeableness,personality_conscientiousness,personality_neuroticism,personality_openness,pre_security_engagement,pre_security_attentiveness,pre_security_resistance,pre_security_concern,pre_security_attitude_total,knowledge_total,proficiency,class_phish_accuracy,class_nophish_accuracy
2.0,2.0,2.0,3.0,0.0,-0.7089543254756996,-0.5169809158609384,1.4344543997619283,1.44727635259677,1.5887658201459542,0.0,0.0,0.0,0.0,0.0,-0.2723813140284189,0.9103916293969043,0.666666666666667,0.8
2.0,2.0,2.0,3.0,0.0,-0.2161446114255182,0.03901742761214643,-1.0558166901800998,-0.7843219909023074,-0.10569751818018822,0.0,0.0,0.0,0.0,0.0,-0.06809532850710609,0.32824984551370373,1.0,0.571428571428571
2.0,2.0,2.0,3.0,0.0,0.27666510262466326,0.5950157710852313,0.1893188547909143,-0.7843219909023074,0.4591235945951926,0.0,0.0,0.0,0.0,0.0,0.9533345990994703,0.7265573818548415,1.0,0.0
2.0,2.0,2.0,3.0,0.0,0.27666510262466326,-2.184975946280193,-1.0558166901800998,-0.33800232220249193,-0.10569751818018822,0.0,0.0,0.0,0.0,0.0,-0.2723813140284189,0.6346402580838095,0.333333333333333,1.0
3.0,2.0,2.0,3.0,0.0,-1.6945737535760625,1.1510141145583161,0.8118866272764214,0.10831734649732354,-1.8001608565063307,0.0,0.0,0.0,0.0,0.0,-0.5788102923103916,-0.07005769082743402,0.833333333333333,0.666666666666667
1.0,2.0,2.0,3.0,0.0,-1.201764039525881,-1.6289776028071081,0.1893188547909143,1.0009566838969546,-0.6705186309555691,0.0,0.0,0.0,0.0,0.0,-0.2723813140284189,-0.1926138558554759,0.833333333333333,0.833333333333333
1.0,2.0,2.0,3.0,0.0,-0.7089543254756996,0.5950157710852313,0.1893188547909143,-0.33800232220249193,-0.10569751818018822,0.0,0.0,0.0,0.0,0.0,-2.723813140284198,-1.2037022173368253,0.5,0.5
2.0,2.0,2.0,3.0,0.0,-0.2161446114255182,0.5950157710852313,0.8118866272764214,1.0009566838969546,-0.10569751818018822,0.0,0.0,0.0,0.0,0.0,-1.089525256113677,-1.9696782487620899,0.333333333333333,1.0
2.0,2.0,2.0,3.0,0.0,-0.7089543254756996,-1.0729792593340233,-1.0558166901800998,0.10831734649732354,-2.9298030820570924,0.0,0.0,0.0,0.0,0.0,0.9533345990994703,1.492533413280106,0.833333333333333,1.0
1.0,2.0,2.0,3.0,0.0,-1.6945737535760625,-1.0729792593340233,0.8118866272764214,1.44727635259677,-0.10569751818018822,0.0,0.0,0.0,0.0,0.0,-0.2723813140284189,-1.1117850935657934,0.5,0.833333333333333
