age_category,gender,education_level,employment_status,it_job,phishing_victim,phishing_victim_count,perceived_knowledge,perceived_self_efficacy,perceived_severity,perceived_vulnerability,email_trust,knowledge_test_percent_correct,phishing_test_percent_correct
3,1.0,2,1,1.0,1,-1.240099808814401,-1.5188352468351254,-0.5908251470218018,-4.3834851003314315,-0.6974161088168076,1.5273207006500664,-2.136007147523267,-0.1533932609944256
2,1.0,3,1,1.0,1,-1.240099808814401,-1.9012086817839682,-0.2928166811032732,-4.3834851003314315,-0.07507287322039058,0.8857677678881364,-0.8173146320105104,-0.1533932609944256
1,0.0,4,0,0.0,1,0.18280355747463298,0.010658492960246405,-2.080867478402495,0.44489102509385103,0.858441981107749,0.24421483608853534,0.5013778835022463,1.402770256340322
2,1.0,4,1,1.0,1,0.18280355747463298,1.1577787978067753,1.4952341161959486,0.44489102509385103,1.480785217637681,-1.3596674953351253,0.5013778835022463,-0.9625982900084943
3,1.0,3,1,1.0,1,0.18280355747463298,0.39303192790908936,-0.2928166811032732,0.44489102509385103,-0.3862444910185991,0.5649913019883359,1.1607241412586247,1.402770256340322
3,1.0,4,1,0.0,1,0.18280355747463298,-0.37171494198859656,-0.2928166811032732,0.44489102509385103,1.169613599839473,-0.07656163077359422,0.5013778835022463,-1.7095567783291732
3,0.0,3,1,1.0,1,0.18280355747463298,1.1577787978067753,1.1972256502774203,0.44489102509385103,-1.319759345346739,-1.3596674953351253,0.5013778835022463,2.1497287446610005
1,1.0,3,0,0.0,1,0.18280355747463298,0.7754053628579323,0.6012087175463376,0.44489102509385103,-0.07507287322039058,-1.038891029435325,1.1607241412586247,-0.9625982900084943
3,0.0,2,1,0.0,1,0.18280355747463298,1.1577787978067753,0.6012087175463376,0.44489102509385103,-1.319759345346739,-0.7181145625731951,-1.4766608897668887,1.402770256340322
3,1.0,4,1,0.0,1,0.18280355747463298,0.010658492960246405,0.8992171834648659,-0.09159521052802697,1.480785217637681,-0.7181145625731951,1.820070399015003,-0.1533932609944256
1,1.0,1,0,1.0,1,0.18280355747463298,1.1577787978067753,0.005191784815255009,0.44489102509385103,-1.0085877275485307,-0.07656163077359422,0.5013778835022463,0.5935652273262532
2,1.0,3,1,0.0,1,0.18280355747463298,-0.37171494198859656,-1.186842079752884,0.44489102509385103,-0.07507287322039058,-0.7181145625731951,0.5013778835022463,-0.1533932609944256
2,1.0,3,1,0.0,1,0.18280355747463298,1.1577787978067753,1.4952341161959486,0.44489102509385103,0.5472703633095409,-1.3596674953351253,0.5013778835022463,-8.845765463176732e-16
2,0.0,4,1,0.0,1,0.18280355747463298,-0.37171494198859656,-0.5908251470218018,-2.2375401562344592,1.169613599839473,0.8857677678881364,-0.157968374254132,-0.9625982900084943
2,1.0,3,1,1.0,1,0.18280355747463298,0.7754053628579323,0.30320025162780945,0.44489102509385103,0.5472703633095409,1.5273207006500664,-0.8173146320105104,1.402770256340322
3,1.0,3,1,0.0,1,0.18280355747463298,0.39303192790908936,1.1972256502774203,0.44489102509385103,-0.3862444910185991,-1.038891029435325,1.1607241412586247,-0.9625982900084943
1,1.0,3,0,1.0,1,0.18280355747463298,1.1577787978067753,1.4952341161959486,0.44489102509385103,-1.6309309631449473,0.24421483608853534,1.1607241412586247,0.5935652273262532
1,1.0,3,0,0.0,1,0.18280355747463298,0.7754053628579323,0.6012087175463376,0.44489102509385103,-0.3862444910185991,-0.7181145625731951,0.5013778835022463,1.402770256340322
1,1.0,1,0,0.0,1,0.18280355747463298,1.1577787978067753,1.4952341161959486,0.44489102509385103,-1.319759345346739,-0.07656163077359422,1.820070399015003,-0.9625982900084943
1,1.0,2,0,0.0,1,0.18280355747463298,-0.37171494198859656,-0.5908251470218018,-0.09159521052802697,1.169613599839473,-0.7181145625731951,0.5013778835022463,-0.1533932609944256
2,1.0,4,1,1.0,1,0.18280355747463298,1.1577787978067753,0.8992171834648659,0.44489102509385103,-0.07507287322039058,-1.3596674953351253,-0.157968374254132,-8.845765463176732e-16
3,1.0,3,1,0.0,1,0.18280355747463298,0.39303192790908936,0.6012087175463376,-0.6280814477593653,0.23609874551133245,0.5649913019883359,1.1607241412586247,1.402770256340322
1,1.0,4,0,0.0,1,0.18280355747463298,-0.37171494198859656,-0.5908251470218018,0.44489102509385103,-0.07507287322039058,0.24421483608853534,-0.157968374254132,2.1497287446610005
1,1.0,3,0,1.0,1,0.18280355747463298,0.7754053628579323,-0.5908251470218018,0.44489102509385103,0.858441981107749,0.8857677678881364,0.5013778835022463,-0.9625982900084943
2,1.0,4,1,0.0,1,0.18280355747463298,0.39303192790908936,-0.2928166811032732,-0.09159521052802697,-0.07507287322039058,-0.7181145625731951,0.5013778835022463,0.5935652273262532
3,1.0,3,1,1.0,1,0.18280355747463298,1.1577787978067753,0.6012087175463376,0.44489102509385103,-0.6974161088168076,0.5649913019883359,0.5013778835022463,1.402770256340322
